iter	Passed	Remaining
409	4704	6769
410	4715	6757
411	4724	6742
412	4737	6733
413	4749	6722
414	4763	6714
415	4775	6704
416	4787	6694
417	4799	6681
418	4809	6669
419	4822	6658
420	4833	6647
421	4844	6635
422	4856	6624
423	4867	6613
424	4878	6600
425	4888	6586
426	4899	6575
427	4911	6563
428	4921	6550
429	4934	6541
430	4946	6530
431	4960	6522
432	4973	6512
433	4985	6501
434	4998	6492
435	5011	6482
436	5024	6472
437	5035	6461
438	5047	6449
439	5059	6439
440	5071	6428
441	5083	6417
442	5092	6402
443	5104	6391
444	5115	6380
445	5127	6368
446	5138	6357
447	5151	6347
448	5163	6337
449	5177	6328
450	5188	6316
451	5198	6303
452	5209	6290
453	5220	6278
454	5232	6266
455	5243	6255
456	5253	6241
457	5264	6230
458	5275	6217
459	5286	6205
460	5298	6194
461	5307	6180
462	5318	6168
463	5329	6156
464	5338	6142
465	5348	6128
466	5359	6116
467	5371	6105
468	5382	6094
469	5394	6083
470	5409	6075
471	5423	6066
472	5435	6056
473	5446	6043
474	5458	6033
475	5470	6022
476	5482	6011
477	5492	5998
478	5504	5986
479	5516	5976
480	5527	5964
481	5540	5954
482	5551	5942
483	5565	5932
484	5574	5918
485	5585	5906
486	5595	5894
487	5607	5883
488	5617	5869
489	5629	5859
490	5641	5848
491	5653	5837
492	5664	5825
493	5675	5813
494	5685	5800
495	5694	5786
496	5706	5774
497	5717	5763
498	5728	5751
499	5737	5737
500	5748	5725
501	5757	5711
502	5767	5698
503	5778	5686
504	5788	5673
505	5800	5662
506	5812	5651
507	5825	5641
508	5834	5627
509	5845	5615
510	5857	5605
511	5868	5593
512	5879	5581
513	5890	5569
514	5901	5557
515	5913	5546
516	5925	5535
517	5934	5522
518	5946	5510
519	5955	5497
520	5967	5486
521	5979	5475
522	5992	5465
523	6005	5455
524	6016	5443
525	6030	5433
526	6042	5423
527	6051	5409
528	6064	5399
529	6077	5389
530	6088	5377
531	6099	5365
532	6109	5352
533	6120	5341
534	6131	5329
535	6142	5317
536	6154	5306
537	6166	5294
538	6177	5283
539	6188	5271
540	6201	5261
541	6213	5250
542	6223	5237
543	6235	5226
544	6247	5215
545	6260	5205
546	6272	5194
547	6283	5182
548	6295	5171
549	6305	5159
550	6314	5145
551	6324	5132
552	6335	5121
553	6346	5109
554	6357	5097
555	6367	5084
556	6378	5072
557	6388	5060
558	6400	5049
559	6412	5038
560	6425	5028
561	6437	5017
562	6447	5004
563	6460	4994
564	6473	4983
565	6484	4972
566	6495	4960
567	6508	4950
568	6520	4938
569	6531	4927
570	6540	4914
571	6551	4902
572	6562	4890
573	6573	4878
574	6583	4866
575	6594	4854
576	6604	4841
577	6615	4830
578	6627	4819
579	6640	4808
580	6650	4796
581	6662	4785
582	6672	4772
583	6682	4759
584	6694	4749
585	6705	4737
586	6718	4726
587	6729	4715
588	6740	4703
589	6750	4690
590	6759	4677
591	6770	4666
592	6781	4654
593	6790	4641
594	6801	4629
595	6810	4616
596	6819	4603
597	6830	4592
598	6845	4582
599	6854	4569
600	6864	4557
601	6876	4546
602	6887	4534
603	6898	4523
604	6911	4512
605	6923	4501
606	6934	4489
607	6944	4477
608	6956	4466
609	6967	4454
610	6976	4441
611	6986	4429
612	6995	4416
613	7006	4404
614	7017	4392
615	7026	4379
616	7036	4368
617	7046	4355
618	7056	4343
619	7068	4332
620	7080	4320
621	7090	4309
622	7099	4296
623	7112	4285
624	7125	4275
625	7136	4263
626	7149	4253
627	7159	4240
628	7170	4229
629	7180	4216
630	7190	4205
631	7201	4193
632	7210	4180
633	7219	4167
634	7230	4156
635	7239	4143
636	7248	4130
637	7257	4118
638	7268	4106
639	7279	4094
640	7290	4083
641	7301	4071
642	7312	4060
643	7325	4049
644	7337	4038
645	7348	4026
646	7360	4015
647	7372	4005
648	7384	3993
649	7395	3982
650	7406	3970
651	7415	3958
652	7426	3946
653	7435	3933
654	7445	3921
655	7454	3909
656	7465	3897
657	7478	3887
658	7491	3876
659	7504	3865
660	7514	3854
661	7525	3842
662	7538	3831
663	7550	3820
664	7562	3809
665	7573	3798
666	7586	3787
667	7595	3775
668	7605	3763
669	7617	3751
670	7628	3740
671	7640	3729
672	7649	3716
673	7659	3704
674	7670	3693
675	7681	3681
676	7695	3671
677	7708	3661
678	7718	3648
679	7728	3637
680	7741	3626
681	7755	3616
682	7764	3603
683	7776	3592
684	7787	3581
685	7799	3569
686	7810	3558
687	7822	3547
688	7834	3536
689	7845	3524
690	7857	3513
691	7868	3502
692	7879	3490
693	7889	3478
694	7901	3467
695	7915	3457
696	7927	3446
697	7938	3434
698	7950	3423
699	7963	3412
700	7976	3402
701	7986	3390
702	7997	3378
703	8008	3367
704	8018	3355
705	8027	3342
706	8038	3331
707	8049	3320
708	8063	3309
709	8074	3297
710	8083	3285
711	8094	3274
712	8103	3261
713	8118	3251
714	8130	3240
715	8142	3229
716	8152	3217
717	8165	3206
718	8177	3195
719	8188	3184
720	8201	3173
721	8212	3162
722	8223	3150
723	8233	3138
724	8244	3127
725	8255	3115
726	8266	3104
727	8277	3092
728	8288	3081
729	8299	3069
730	8310	3058
731	8319	3046
732	8331	3034
733	8342	3023
734	8353	3011
735	8363	3000
736	8373	2988
