iter	RMSE
0	11.67432546
1	11.32607722
2	10.98878612
3	10.66035783
4	10.3418857
5	10.0334376
6	9.73387324
7	9.443406508
8	9.161977667
9	8.888626833
10	8.62357204
11	8.366658937
12	8.116900059
13	7.874582352
14	7.63973918
15	7.412099785
16	7.191100167
17	6.976649076
18	6.768666685
19	6.566913243
20	6.37138664
21	6.181430385
22	5.997100475
23	5.81849036
24	5.645114604
25	5.477041894
26	5.313789413
27	5.155777341
28	5.002595274
29	4.853754621
30	4.709493708
31	4.569572497
32	4.433835191
33	4.302221977
34	4.174625274
35	4.050631596
36	3.930409381
37	3.81382987
38	3.700961352
39	3.591241311
40	3.48495734
41	3.381802593
42	3.281634604
43	3.184732147
44	3.090352402
45	2.999215675
46	2.910460569
47	2.824680168
48	2.7415043
49	2.660615158
50	2.58214452
51	2.506248496
52	2.432642404
53	2.360948382
54	2.291817452
55	2.224715974
56	2.159486429
57	2.096334365
58	2.034763553
59	1.975368513
60	1.917778025
61	1.861923968
62	1.807938833
63	1.755549212
64	1.704834023
65	1.655681316
66	1.608027068
67	1.561735375
68	1.516893386
69	1.473464821
70	1.431043733
71	1.390103207
72	1.350658892
73	1.312038715
74	1.274753898
75	1.238714066
76	1.203762463
77	1.169845996
78	1.136759367
79	1.10426652
80	1.072938608
81	1.043195905
82	1.014311113
83	0.9859744678
84	0.9589690635
85	0.9329346347
86	0.9076250983
87	0.8824976333
88	0.8589894284
89	0.8356859346
90	0.8134624769
91	0.7918178097
92	0.7709060774
93	0.7506866047
94	0.7314356423
95	0.7126208434
96	0.6946541603
97	0.6771427611
98	0.6596769116
99	0.6428208938
100	0.6264203867
101	0.610267792
102	0.5953574949
103	0.5800816603
104	0.5653025775
105	0.5512171629
106	0.5375654124
107	0.5243800277
108	0.5120104701
109	0.5000606799
110	0.4882027946
111	0.476144183
112	0.4647448876
113	0.4545519487
114	0.4440364957
115	0.4345471196
116	0.4253601992
117	0.4162177804
118	0.4065751474
119	0.3981158526
120	0.3894100888
121	0.382146059
122	0.3739620891
123	0.3673441925
124	0.3595905634
125	0.352180001
126	0.3448306945
127	0.3376258972
128	0.3312684032
129	0.3253611932
130	0.3194269357
131	0.3134653013
132	0.3075196674
133	0.3020779606
134	0.2965685831
135	0.2917876675
136	0.2869764289
137	0.2826651763
138	0.2778427539
139	0.273050537
140	0.2682234526
141	0.2638204585
142	0.2594296412
143	0.255386373
144	0.252037661
145	0.2485791898
146	0.2451073742
147	0.2415141132
148	0.238153139
149	0.2351929923
150	0.2321766358
151	0.2292995202
152	0.2261581449
153	0.2235821956
154	0.2208623888
155	0.2183798519
156	0.2158391188
157	0.2135971746
158	0.2115227136
159	0.2092842836
160	0.2070862138
161	0.2050395718
162	0.2034358169
163	0.2011495128
164	0.1995197267
165	0.1977710277
166	0.1961265573
167	0.1945257648
168	0.1934942238
169	0.1918776153
170	0.1902702731
171	0.1889831453
172	0.1874325142
173	0.1862481129
174	0.1853174097
175	0.1839337565
176	0.182484358
177	0.1815185366
178	0.1805688038
179	0.1793699968
180	0.1784273609
181	0.1773929979
182	0.1765113003
183	0.1756006974
184	0.1747906482
185	0.1740258879
186	0.1734418039
187	0.1727642268
188	0.1722024608
189	0.1716527966
190	0.1705036132
191	0.1699229361
192	0.1688859069
193	0.1680787949
194	0.1673449965
195	0.1667319484
196	0.1658443437
197	0.1654264421
198	0.1645920869
199	0.1637544801
200	0.1632665738
201	0.1627497654
202	0.1621980475
203	0.1617772995
204	0.1613890099
205	0.1610342686
206	0.1606590156
207	0.1604057786
208	0.1597518687
209	0.1593604253
210	0.1590050981
211	0.1586482242
212	0.1583750968
213	0.1580700258
214	0.15767787
215	0.1571711683
216	0.1567311424
217	0.1565935645
218	0.1561750721
219	0.155706512
220	0.1554824875
221	0.155320249
222	0.1551236102
223	0.1547140308
224	0.1544606207
225	0.1542364067
226	0.1540124603
227	0.1536502045
228	0.153095049
229	0.1528466895
230	0.1524547107
231	0.1522588996
232	0.1520127349
233	0.1518733636
234	0.1516963347
235	0.1515845699
236	0.1513625873
237	0.1512035867
238	0.1511390508
239	0.1508491892
240	0.1506569058
241	0.1504125804
242	0.1502412545
243	0.1501555028
244	0.1499190912
245	0.1498312256
246	0.1497120972
247	0.1491675565
248	0.1489432655
249	0.148849745
250	0.1485964234
251	0.1481234698
252	0.1480290054
253	0.1479057257
254	0.1478427346
255	0.1477508574
256	0.1475829202
257	0.147480333
258	0.1474276298
259	0.1471373061
260	0.147005084
261	0.1469316109
262	0.1466696557
263	0.1465602269
264	0.1462867166
265	0.1461593718
266	0.1460870549
267	0.1460422942
268	0.1459889733
269	0.1459557035
270	0.1456379123
271	0.1455267953
272	0.1454744908
273	0.1451203222
274	0.1450768561
275	0.1450560854
276	0.144821017
277	0.1447887733
278	0.1447006903
279	0.1446237322
280	0.1446081912
281	0.1445453075
282	0.1442007517
283	0.1438093426
284	0.14354528
285	0.1435139264
286	0.1434918996
287	0.1434698498
288	0.1433929754
289	0.1433693676
290	0.1433216914
291	0.143304543
292	0.1432822995
293	0.1432426699
294	0.143183566
295	0.1431625372
296	0.1431181364
297	0.1430715675
298	0.1430300234
299	0.1429615514
300	0.1428678777
301	0.1428527871
302	0.1427737885
303	0.1427705367
304	0.1427141244
305	0.1426273709
306	0.1424953116
307	0.14247065
308	0.1424059458
309	0.1423227108
310	0.1422938834
311	0.1418874459
312	0.1418559082
313	0.1418291555
314	0.1418083463
315	0.1417708008
316	0.1417563876
317	0.1417506223
318	0.1417139101
319	0.1417011607
320	0.1414689477
321	0.141459207
322	0.1414154158
323	0.1412714976
324	0.1412247014
325	0.1412035961
326	0.1411894671
327	0.1410316239
328	0.1410141944
329	0.141000349
330	0.1409880331
331	0.1407617898
332	0.140741145
333	0.1407314653
334	0.1407202013
335	0.140246048
336	0.1401846189
337	0.1401437338
338	0.1400246408
339	0.1400033314
340	0.139999425
341	0.1398046702
342	0.1397725911
343	0.1397573403
344	0.1397510659
345	0.1397146128
346	0.1396927769
347	0.1396496669
348	0.1396421098
349	0.1396323897
350	0.1396198213
351	0.1396148216
352	0.1392877183
353	0.1392746832
354	0.1392184161
355	0.1391821098
356	0.1391597648
357	0.1391486322
358	0.1390880241
359	0.1390766038
360	0.1390548868
361	0.139042169
362	0.1390386607
363	0.1390280228
364	0.1389829629
365	0.1389812691
366	0.1388510536
367	0.1388443522
368	0.1388428835
369	0.1388399784
370	0.1388268065
371	0.1385592438
372	0.1385338
373	0.1385315924
374	0.1385096109
375	0.1382724664
376	0.1382653825
377	0.138261363
378	0.1382452532
379	0.1382440576
380	0.1382375645
381	0.1382343528
382	0.1382248898
383	0.138222614
384	0.1378820614
385	0.1378578072
386	0.1378326029
387	0.1376352111
388	0.1375934377
389	0.1375725536
390	0.1375353761
391	0.137486403
392	0.1374089078
393	0.1374021105
394	0.1373552605
395	0.1373510393
396	0.1373479044
397	0.1373361923
398	0.1373331754
399	0.1372972825
400	0.1372818451
401	0.1369713552
402	0.1369374897
403	0.1368816113
404	0.1367806505
405	0.1367389551
406	0.1367277923
407	0.1367008551
408	0.1365207476
409	0.1365116928
410	0.1365070785
411	0.1364681406
412	0.136441763
413	0.1364366772
414	0.1364113119
415	0.1364101648
416	0.1364034378
417	0.1362163688
418	0.1361955966
419	0.1361946656
420	0.13592058
421	0.1358946376
422	0.1358881442
423	0.1358771197
424	0.1358732884
425	0.1358492487
426	0.1357874518
427	0.1357253859
428	0.1356964831
429	0.1356932305
430	0.1356866674
431	0.1353602957
432	0.1353507669
433	0.1353487269
434	0.1353296364
435	0.1351540296
436	0.1349304121
437	0.134927607
438	0.1349189556
439	0.1347549453
440	0.1347231773
441	0.1345822626
442	0.1345767618
443	0.1345616894
444	0.1345388353
445	0.1345090463
446	0.1341701684
447	0.1341556177
448	0.1341101241
449	0.134096012
450	0.1340858794
451	0.1338695562
452	0.1337767568
453	0.1337727342
454	0.1337648558
455	0.1337609528
456	0.1337374768
457	0.1334846786
458	0.1334760201
459	0.1332866788
460	0.1332498187
461	0.1331416857
462	0.1331383438
463	0.1331341147
464	0.1329988443
465	0.13266216
466	0.1326402778
467	0.1326214761
468	0.1326203454
469	0.1324373859
470	0.1324339217
471	0.1324262629
472	0.1324213096
473	0.1323912799
474	0.1323874072
475	0.132338992
476	0.1323324275
477	0.1322255393
478	0.1322125519
479	0.1322090803
480	0.1322017655
481	0.1321985542
482	0.1321951507
483	0.1321452474
484	0.1321000799
485	0.1320959835
486	0.1320814313
487	0.1320287485
488	0.1320090918
489	0.1320066058
490	0.1320028838
491	0.1319995684
492	0.1319943218
493	0.1319852642
494	0.1319827841
495	0.1319801214
496	0.1319758397
497	0.1319736627
498	0.1319505957
499	0.1319183887
500	0.1318425421
501	0.1318202008
502	0.1318179388
503	0.1318011396
504	0.1317707046
505	0.1317353554
506	0.1317336361
507	0.1317298606
508	0.1317278152
509	0.1316996658
510	0.1316972331
511	0.1316820105
512	0.1316163287
513	0.1315996071
514	0.1315772877
515	0.1315744733
516	0.1313789647
517	0.1313678167
518	0.1313519919
519	0.1313258915
520	0.131321287
521	0.1312980272
522	0.1312878231
523	0.1312702104
524	0.1311870542
525	0.131179123
526	0.1311691623
527	0.1311549489
528	0.1311422385
529	0.1308576577
530	0.1308427674
531	0.1308406632
532	0.1308332713
533	0.1307335469
534	0.1307298105
535	0.1307163261
536	0.130657444
537	0.1306554837
538	0.1306522165
539	0.1306491846
540	0.1306476542
541	0.130645173
542	0.1305933969
543	0.1305916148
544	0.1305892403
545	0.1305580768
546	0.1302663583
547	0.1301927297
548	0.1300990983
549	0.1299710474
550	0.1299528458
551	0.1299491044
552	0.1299159212
553	0.1299135699
